snapshot_date,split_id,protocol,seed,subject,partition,ch,mean_contact,rank_mean_contact,dead_flag
2026-02-24,P1_seed0,P1,0,,competition,9,0.03950714,84,0
2026-02-24,P1_seed0,P1,0,,competition,90,0.56929396,2,0
2026-02-24,P1_seed0,P1,0,,competition,91,0.53397223,10,0
2026-02-24,P1_seed0,P1,0,,competition,92,0.54422061,7,0
2026-02-24,P1_seed0,P1,0,,competition,93,0.46235087,19,0
2026-02-24,P1_seed0,P1,0,,competition,94,0.29673382,37,0
2026-02-24,P1_seed0,P1,0,,competition,95,0.14066106,59,0
2026-02-24,P1_seed0,P1,0,,competition,96,0.02433014,92,0
2026-02-24,P1_seed0,P1,0,,competition,97,0.00238607,112,0
2026-02-24,P1_seed0,P1,0,,competition,98,0.00238607,113,0
2026-02-24,P1_seed0,P1,0,,competition,99,0.02073147,93,0
2026-02-24,P1_seed0,P1,0,,test,0,0.00000000,119,1
2026-02-24,P1_seed0,P1,0,,test,1,0.03023027,85,0
2026-02-24,P1_seed0,P1,0,,test,10,0.03211966,84,0
2026-02-24,P1_seed0,P1,0,,test,100,0.01043102,100,0
2026-02-24,P1_seed0,P1,0,,test,101,0.01936627,91,0
2026-02-24,P1_seed0,P1,0,,test,102,0.07400118,69,0
2026-02-24,P1_seed0,P1,0,,test,103,0.13119465,55,0
2026-02-24,P1_seed0,P1,0,,test,104,0.23404842,43,0
2026-02-24,P1_seed0,P1,0,,test,105,0.39039559,26,0
2026-02-24,P1_seed0,P1,0,,test,106,0.54257036,6,0
2026-02-24,P1_seed0,P1,0,,test,107,0.54682149,5,0
2026-02-24,P1_seed0,P1,0,,test,108,0.56465263,1,0
2026-02-24,P1_seed0,P1,0,,test,109,0.46164141,17,0
2026-02-24,P1_seed0,P1,0,,test,11,0.01897264,92,0
2026-02-24,P1_seed0,P1,0,,test,110,0.27604802,39,0
2026-02-24,P1_seed0,P1,0,,test,111,0.05530407,75,0
2026-02-24,P1_seed0,P1,0,,test,112,0.00098406,111,0
2026-02-24,P1_seed0,P1,0,,test,113,0.00000000,123,1
